index,state,time,stealing,level,irp
1,4 4 0 5 0 6 2 5 1 6 5 5 5 0,2021-06-06/08/21 05:49:17,1,3,1
2,1 2 0 9 0 10 5 6 2 6 5 0 0 2,2021-06-06/08/21 05:49:37,1,3,1
